ref,x1,y1,x2,y2,angCONN,axCONN,axid,axLEN,axref,CONN,segLEN,CH,INT,NC,TD,NACH,NAIN
529,421878.064937,564358.669138,421883.100379,564383.142466,2.037586,4,513,24.985985,512,4,24.985985,3733506,1445.9633,8597,51113.613,1.39578004340362,1.02958626113456
530,421883.100379,564383.142466,421912.51305,564532.360147,2.0437131,4,514,152.08887,513,4,152.08887,3659579,1446.558,8597,51092.602,1.39398823761041,1.03000964513377
531,421912.51305,564532.360147,421913.690088,564544.484585,2.0152059,4,515,12.181437,514,4,12.181437,3629102,1455.7816,8597,50768.887,1.39403408846846,1.03657698307046
532,421913.690088,564544.484585,421923.424512,564594.052756,2.0497484,4,516,50.514973,515,4,50.514973,3668142,1465.2384,8597,50441.219,1.39585573313302,1.04331035801405
533,421923.424512,564594.052756,421938.672686,564664.997377,3.126884,5,517,72.564774,516,5,72.564774,3697815,1466.5237,8597,50397.012,1.39671284922317,1.0442254874812
534,421938.672686,564664.997377,421946.621759,564701.731569,3.9447989,6,518,37.584419,517,6,37.584419,3711249,1466.5243,8597,50396.988,1.39704782540593,1.04422598474142
535,421631.48048,563666.834145,421632.841453,563652.585382,2.3573864,4,519,14.313612,518,4,14.313612,381578,1230.3765,8597,60069.754,1.16801864449363,0.876084505111521
536,421488.934328,563624.264558,421526.171654,563599.78207,1.1716279,3,520,44.564678,519,3,44.564678,707033,1214.8346,8597,60838.25,1.22265845645073,0.865018353380715
537,421362.462253,563655.378062,421488.934328,563624.264558,1.2286738,3,521,130.24298,520,3,130.24298,701602,1201.6746,8597,61504.512,1.2207515423137,0.855648144610623
538,421343.316259,563660.09464,421362.462253,563655.378062,1.7827446,4,522,19.718397,521,4,19.718397,657308,1201.6782,8597,61504.324,1.21483785034801,0.855650759981543
539,421330.641274,563662.482716,421343.316259,563660.09464,2.4204965,4,523,12.89799,522,4,12.89799,256989,1184.8413,8597,62378.316,1.12822830018033,0.843662492416214
540,421242.451933,563681.216724,421330.641274,563662.482716,2.0774899,4,524,90.157211,523,4,90.157211,329531,1196.9698,8597,61746.258,1.15181000958172,0.852298260369888
541,421221.0038,563694.730811,421242.451933,563681.216724,4.604651,7,525,25.350601,524,7,25.350601,291538,1166.6527,8597,63350.82,1.13805814647405,0.830711764279333
560,424182.962862,563606.719652,424198.863752,563686.529791,3.1420131,6,544,81.378723,543,6,81.378723,65607,1690.1187,8597,43729.715,1.03795684247132,1.20342714376217
561,424182.962862,563606.719652,424189.937983,563576.264455,4.5538402,6,545,31.24374,544,6,31.24374,3936676,1691.2013,8597,43701.723,1.4212023403679,1.2041979323883
602,424146.532105,563728.292555,424159.414337,563801.013697,2.0997233,4,584,73.85334,583,4,73.85334,18916,1500.9886,8597,49239.82,0.911453476562903,1.06876498216904
